name,network,state,latitude,longitude,charger_type,power_kw
Tesla Supercharger Sydney (Macquarie Park),Tesla,NSW,-33.7771,151.1215,DC Fast,250
Tesla Supercharger Sydney (Zetland),Tesla,NSW,-33.9085,151.2021,DC Fast,250
Tesla Supercharger Sydney (Mascot),Tesla,NSW,-33.9273,151.1918,DC Fast,250
Tesla Supercharger Parramatta,Tesla,NSW,-33.8150,151.0011,DC Fast,250
Tesla Supercharger Newcastle,Tesla,NSW,-32.9283,151.7817,DC Fast,250
Tesla Supercharger Canberra,Tesla,ACT,-35.2809,149.1300,DC Fast,250
Tesla Supercharger Goulburn,Tesla,NSW,-34.7539,149.7189,DC Fast,150
Tesla Supercharger Albury,Tesla,NSW,-36.0737,146.9135,DC Fast,150
Tesla Supercharger Wagga Wagga,Tesla,NSW,-35.1082,147.3598,DC Fast,150
Tesla Supercharger Bathurst,Tesla,NSW,-33.4173,149.5785,DC Fast,150
Tesla Supercharger Melbourne (South Yarra),Tesla,VIC,-37.8376,144.9934,DC Fast,250
Tesla Supercharger Melbourne (Docklands),Tesla,VIC,-37.8155,144.9511,DC Fast,250
Tesla Supercharger Melbourne (Essendon),Tesla,VIC,-37.7507,144.9205,DC Fast,250
Tesla Supercharger Melbourne (Clayton),Tesla,VIC,-37.9205,145.1231,DC Fast,250
Tesla Supercharger Geelong,Tesla,VIC,-38.1499,144.3617,DC Fast,250
Tesla Supercharger Ballarat,Tesla,VIC,-37.5622,143.8503,DC Fast,150
Tesla Supercharger Bendigo,Tesla,VIC,-36.7570,144.2794,DC Fast,150
Tesla Supercharger Wodonga,Tesla,VIC,-36.1218,146.8882,DC Fast,150
Tesla Supercharger Shepparton,Tesla,VIC,-36.3790,145.4010,DC Fast,150
Tesla Supercharger Mildura,Tesla,VIC,-34.1885,142.1620,DC Fast,150
Tesla Supercharger Brisbane (Fortitude Valley),Tesla,QLD,-27.4591,153.0394,DC Fast,250
